ticker,active,type,market_cap,primary_exchange,sic_description,list_date,name,description,total_employees,share_class_shares_outstanding,weighted_shares_outstanding
AAPL,True,CS,3273309706700.0,XNAS,ELECTRONIC COMPUTERS,1980-12-12,Apple Inc.,"Apple is among the largest companies in the world, with a broad portfolio of hardware and software products targeted at consumers and businesses. Apple's iPhone makes up a majority of the firm sales, and Apple's other products like Mac, iPad, and Watch are designed around the iPhone as the focal point of an expansive software ecosystem. Apple has progressively worked to add new applications, like streaming video, subscription bundles, and augmented reality. The firm designs its own software and semiconductors while working with subcontractors like Foxconn and TSMC to build its products and chips. Slightly less than half of Apple's sales come directly through its flagship stores, with a majority of sales coming indirectly through partnerships and distribution.",164000.0,15022070000,15022073000
AMZN,True,CS,2042394400717.44,XNAS,RETAIL-CATALOG & MAIL-ORDER HOUSES,1997-05-15,Amazon.Com Inc,"Amazon is the leading online retailer and marketplace for third party sellers. Retail related revenue represents approximately 75% of total, followed by Amazon Web Services' cloud computing, storage, database, and other offerings (15%), advertising services (5% to 10%), and other the remainder. International segments constitute 25% to 30% of Amazon's non-AWS sales, led by Germany, the United Kingdom, and Japan.",1556000.0,10597730000,10597729352
GOOG,True,CS,1928589480000.0,XNAS,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",2004-08-19,Alphabet Inc. Class C Capital Stock,"Alphabet is a holding company. Internet media giant Google is a wholly owned subsidiary. Google services account for nearly 90% of Alphabet's revenue, of which more than 85% is from online ads. Other Google services revenue is from sales of apps and content on Google Play and YouTube, as well as sales of hardware such as Chromebooks, the Pixel smartphone, and smart home products, which include Nest and Google Home. Google's cloud computing offerings account for a bit more than 10% of total Alphabet revenue. Alphabet's moonshot investments are in its other bets segment, where it bets on technology to enhance health (Verily), provide faster internet access (Google Fiber), enable self-driving cars (Waymo), and more.",180895.0,5627980000,12358000000
BRK.A,True,CS,1135428039000.0,XNYS,"FIRE, MARINE & CASUALTY INSURANCE",1980-03-17,Berkshire Hathaway Inc.,"Berkshire Hathaway is a holding company with a wide array of subsidiaries engaged in diverse activities. The firm's core business segment is insurance, run primarily through Geico, Berkshire Hathaway Reinsurance Group, and Berkshire Hathaway Primary Group. Berkshire has used the excess cash thrown off from these and its other operations over the years to acquire Burlington Northern Santa Fe (railroad), Berkshire Hathaway Energy (utilities and energy distributors), and the companies that make up its manufacturing, service, and retailing operations (which include five of Berkshire's largest noninsurance pretax earnings generators: Precision Castparts, Lubrizol, Clayton Homes, Marmon, and IMC/ISCAR). The conglomerate is unique in that it is run on a completely decentralized basis.",396500.0,560000,1436796
BRK.B,True,CS,1135426841746.2998,XNYS,"FIRE, MARINE & CASUALTY INSURANCE",1996-05-09,BERKSHIRE HATHAWAY Class B,"Berkshire Hathaway is a holding company with a wide array of subsidiaries engaged in diverse activities. The firm's core business segment is insurance, run primarily through Geico, Berkshire Hathaway Reinsurance Group, and Berkshire Hathaway Primary Group. Berkshire has used the excess cash thrown off from these and its other operations over the years to acquire Burlington Northern Santa Fe (railroad), Berkshire Hathaway Energy (utilities and energy distributors), and the companies that make up its manufacturing, service, and retailing operations (which include five of Berkshire's largest noninsurance pretax earnings generators: Precision Castparts, Lubrizol, Clayton Homes, Marmon, and IMC/ISCAR). The conglomerate is unique in that it is run on a completely decentralized basis.",392400.0,1339910000,2157334730
TSLA,True,CS,846011223129.4501,XNAS,MOTOR VEHICLES & PASSENGER CAR BODIES,2010-06-29,"Tesla, Inc. Common Stock","Tesla is a vertically integrated battery electric vehicle automaker and developer of autonomous driving software. The company has multiple vehicles in its fleet, which include luxury and midsize sedans, crossover SUVs, a light truck, and a semi truck. Tesla also plans to begin selling more affordable vehicles, a sports car, and a robotaxi. Global deliveries in 2024 were a little below 1.8 million vehicles. The company sells batteries for stationary storage for residential and commercial properties including utilities and solar panels and solar roofs for energy generation. Tesla also owns a fast-charging network.",140473.0,3210060000,3210059659
AVGO,True,CS,795193567019.04,XNAS,SEMICONDUCTORS & RELATED DEVICES,2009-08-06,Broadcom Inc. Common Stock,"Broadcom is the sixth-largest semiconductor company globally and has expanded into various software businesses, with over $30 billion in annual revenue. It sells 17 core semiconductor product lines across wireless, networking, broadband, storage, and industrial markets. It is primarily a fabless designer but holds some manufacturing in-house, like for its best-of-breed FBAR filters that sell into the Apple iPhone. In software, it sells virtualization, infrastructure, and security software to large enterprises, financial institutions, and governments.Broadcom is the product of consolidation. Its businesses are an amalgamation of former companies like legacy Broadcom and Avago Technologies in chips, as well as Brocade, CA Technologies, and Symantec in software.",37000.0,4701950000,4701948717
LLY,True,CS,738753805877.49,XNYS,PHARMACEUTICAL PREPARATIONS,1970-07-09,Eli Lilly & Co.,"Eli Lilly is a drug firm with a focus on neuroscience, cardiometabolic, cancer, and immunology. Lilly's key products include Verzenio for cancer; Mounjaro, Zepbound, Jardiance, Trulicity, Humalog, and Humulin for cardiometabolic; and Taltz and Olumiant for immunology.",47000.0,947990000,898169999
XOM,True,CS,517423350000.0,XNYS,PETROLEUM REFINING,1920-03-25,Exxon Mobil Corporation,"ExxonMobil is an integrated oil and gas company that explores for, produces, and refines oil around the world. In 2023, it produced 2.4 million barrels of liquids and 7.7 billion cubic feet of natural gas per day. At the end of 2023, reserves were 16.9 billion barrels of oil equivalent, 66% of which were liquids. The company is one of the world's largest refiners with a total global refining capacity of 4.5 million barrels of oil per day and is one of the world's largest manufacturers of commodity and specialty chemicals.",61500.0,4442830000,4395000000
MA,True,CS,492878735428.66003,XNYS,"SERVICES-BUSINESS SERVICES, NEC",2006-05-25,Mastercard Incorporated,"Mastercard is the second-largest payment processor in the world, having processed close to $10 trillion in volume during 2024. Mastercard operates in over 200 countries and processes transactions in over 150 currencies.",35300.0,904890000,911708506
